vehicle,"","branch","","","","highlevel vehicle data",""
vehicle.engine,"","branch","","","","engine signals",""
vehicle.engine.oilpressure,"9","UInt16","","0","160","engine oil pressure in psi",""
vehicle.engine.rpm,"7","UInt16","","0","100","engine rpm x 10",""
vehicle.engine.temperature,"8","UInt16","","0","120","engine coolant temperature in degree C",""
vehicle.turnsignal,"","branch","","","","turn signals",""
vehicle.turnsignal.right,"3","Boolean","","","","right turn sigal",""
vehicle.turnsignal.left,"2","Boolean","","","","left turn signal",""
vehicle.battery,"6","UInt8","","10","14","battery voltage in V",""
vehicle.transmission,"","branch","","","","transmission signals",""
vehicle.transmission.gear,"10","String","","","","gear setting","park / reverse / neutral / drive"
vehicle.ignition,"1","Boolean","","","","ignition on or off",""
vehicle.fuel,"5","UInt8","","0","100","fuel level as percentage",""
vehicle.speed,"4","UInt16","","0","220","vehicle speed",""

